"experiment_abbreviated"	"Genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"threshold"	"SGD_name"
"F60_P8"	"YOL038W"	3.4417968042549	9.73624923396194	10.557598676896	3.50447794460594e-08	5.41920651928235e-07	9.08897182727811	"TRUE"	"S000005398"
"F60_P8"	"YOL047C"	-4.92067044329412	7.32842518970588	-14.665141412851	4.4668615228401e-10	2.01031077146258e-08	13.5443135759006	"TRUE"	"S000005407"
"F60_P8"	"YOL049W"	2.76830598203922	7.42354959547232	6.10971724404896	2.35023825405022e-05	0.000127118377147129	2.35781147786277	"TRUE"	"S000005409"
"F60_P8"	"YOL052C-A"	2.27255866150981	10.8211092605363	7.97097305514727	1.15707109104532e-06	9.67773532832639e-06	5.47422667419615	"TRUE"	"S000005413"
"F60_P8"	"YOL053W"	2.59937412121569	7.1491595614083	8.17608211364243	8.53366914838613e-07	7.51570414484106e-06	5.78954422322727	"TRUE"	"S000005414"
"F60_P8"	"YOL054W"	2.63758462454902	6.92216415055709	7.09229479726202	4.52705777598296e-06	3.08541753226667e-05	4.06135479227008	"TRUE"	"S000005415"
"F60_P8"	"YOL058W"	2.69592440309804	8.25052779195156	8.1060034523233	9.46372740966932e-07	8.17245096684025e-06	5.68241193615682	"TRUE"	"S000005419"
"F60_P8"	"YOL061W"	-2.06721429815686	9.00292607879758	-6.42244920159022	1.37157125396642e-05	8.05395669436081e-05	2.91434852918079	"TRUE"	"S000005422"
"F60_P8"	"YOL063C"	2.32467486694118	7.47018025965052	5.02938827535697	0.00016741465717737	0.000708200611415521	0.336414757370014	"TRUE"	"S000005424"
"F60_P8"	"YOL067C"	-2.0673124297451	4.92915446802076	-5.51146658103414	6.8370265561619e-05	0.000319311350004418	1.25661898037719	"TRUE"	"S000005428"
"F60_P8"	"YOL083W"	3.64215881756863	8.80736548113495	9.88032323844542	8.1862658489653e-08	1.06341492511773e-06	8.21405064285274	"TRUE"	"S000005443"
"F60_P8"	"YOL084W"	4.02191154568628	9.36552782013668	20.242224380693	5.21110582455904e-12	1.32002273494009e-09	17.9572791349525	"TRUE"	"S000005444"
"F60_P8"	"YOL090W"	-3.90567274315686	7.99699498555363	-18.1130460100896	2.45187050246592e-11	3.1054107471113e-09	16.4429225755169	"TRUE"	"S000005450"
"F60_P8"	"YOL091W"	-4.08889075552941	7.0715916425917	-12.8937988194499	2.53412374249675e-09	7.22802747893376e-08	11.7825021009646	"TRUE"	"S000005451"
"F60_P8"	"YOL096C"	2.85929890122549	7.97603636285294	7.28094717562729	3.34935634721335e-06	2.39711112980898e-05	4.37335857675689	"TRUE"	"S000005456"
"F60_P8"	"YOL102C"	-2.35281186662745	9.50515398071626	-8.07809056706516	9.86344829962369e-07	8.46950980304248e-06	5.63956716638735	"TRUE"	"S000005462"
"F60_P8"	"YOL104C"	-3.21225692827451	4.45312305191695	-9.64042607771894	1.11747026205977e-07	1.3712533008136e-06	7.89270105912667	"TRUE"	"S000005464"
